"id","rank","name","adp","last_modified"
1,809,Sonny Weems,139.99289895403513,2019-10-18 14:56:12
2,14,Russell Westbrook,14.425094351691934,2019-10-18 14:56:12
3,666,Gary Payton II,139.9911708253359,2019-10-18 14:56:12
4,596,Bobby Brown,139.99728130497363,2019-10-18 14:56:12
5,810,Anthony Morrow,139.99274134237203,2019-10-18 14:56:12
6,843,Ian Clark,139.9984646387103,2019-10-18 14:56:12
7,675,Shake Milton,139.99635316698655,2019-10-18 14:56:12
8,724,Torrey Craig,139.99683362118594,2019-10-18 14:56:12
9,495,Michael Cobbins,139.992962477208,2019-10-18 14:56:12
10,849,Markel Brown,139.99408454307093,2019-10-18 14:56:12
11,169,Jakob Poeltl,140.94664960818807,2019-10-18 14:56:12
12,565,Jalen McDaniels,139.99910440122824,2019-10-18 14:56:12
13,86,Kyle Kuzma,73.93673639096782,2019-10-18 14:56:12
14,4,Nikola Jokic,5.766735966735967,2019-10-18 14:56:12
15,631,Phil Pressey,139.99600204695196,2019-10-18 14:56:12
16,291,Stanley Johnson,140.01890595009596,2019-10-18 14:56:12
17,665,Kadeem Allen,139.98557630804657,2019-10-18 14:56:12
18,252,Mario Hezonja,140.07677794832438,2019-10-18 14:56:12
19,883,Alex Abrines,139.99619394869828,2019-10-18 14:56:12
20,930,Terrance Ferguson,140.0069708694401,2019-10-18 14:56:12
21,333,Frank Ntilikina,140.02129836904382,2019-10-18 14:56:12
22,144,Rodions Kurucs,140.95777621393384,2019-10-18 14:56:12
23,322,Elie Okobo,139.99884884724844,2019-10-18 14:56:12
24,779,Arnoldas Kulboka,140.0,2019-10-18 14:56:12
25,780,Vlatko Cancar,139.99443413729128,2019-10-18 14:56:12
26,702,Omri Casspi,139.9773897470338,2019-10-18 14:56:12
27,390,Willie Reed,139.99772879946258,2019-10-18 14:56:12
28,285,Cheick Diallo,140.0200863585479,2019-10-18 14:56:12
29,719,Chris Johnson,139.99932849422825,2019-10-18 14:56:12
30,174,Luke Kennard,140.79363403710812,2019-10-18 14:56:12
31,925,Tim Quarterman,140.0,2019-10-18 14:56:12
32,679,Josh Magette,139.99536207778914,2019-10-18 14:56:12
33,153,Brandon Ingram,117.11210977482088,2019-10-18 14:56:12
34,268,Shabazz Napier,140.02130381933338,2019-10-18 14:56:12
35,762,Vincent Edwards,140.00031980555823,2019-10-18 14:56:12
36,70,Bojan Bogdanovic,76.66373549067886,2019-10-18 14:56:12
37,766,Duncan Robinson,139.99114053604555,2019-10-18 14:56:12
38,400,Sim Bhullar,139.97742317162866,2019-10-18 14:56:12
