"id","rank","name","pos","team","gp","mpg","fg_percent","ft_percent","threepm","pts","treb","ast","stl","blk","turnovers","total","last_modified"
1,1,Anthony Davis,"PF,C",LAL,74,36.0,0.52,0.81,1.0,27.7,11.3,3.5,1.7,2.6,2.2,15.25,2019-10-18 14:56:16
2,2,James Harden,"PG,SG",HOU,78,36.0,0.45,0.87,3.9,31.7,5.6,6.8,2.1,0.7,4.4,14.81,2019-10-18 14:56:16
3,3,Stephen Curry,"PG,SG",GSW,76,35.0,0.48,0.91,5.6,29.8,5.9,5.7,1.5,0.4,2.9,14.05,2019-10-18 14:56:16
4,4,Giannis Antetokounmpo,"SF,PF",MIL,72,33.0,0.56,0.74,0.9,28.7,13.2,6.2,1.3,1.6,3.4,12.83,2019-10-18 14:56:16
5,5,Karl-Anthony Towns,C,MIN,79,33.0,0.52,0.85,1.9,25.6,12.4,3.6,0.9,1.7,3.1,12.16,2019-10-18 14:56:16
6,6,Nikola Jokic,"PF,C",DEN,78,32.0,0.51,0.83,1.1,21.6,11.7,7.8,1.4,0.8,3.2,10.54,2019-10-18 14:56:16
7,7,Joel Embiid,"PF,C",PHI,66,32.0,0.49,0.80,1.2,27.6,13.6,3.7,0.7,1.9,3.3,10.50,2019-10-18 14:56:16
8,8,Paul George,"SF,PF",LAC,62,35.0,0.45,0.84,3.8,24.2,8.2,4.1,2.0,0.4,2.6,10.18,2019-10-18 14:56:16
9,9,Kawhi Leonard,"SG,SF",LAC,69,34.0,0.50,0.85,2.0,24.1,7.0,3.5,1.8,0.6,2.0,9.87,2019-10-18 14:56:16
10,10,Damian Lillard,PG,POR,80,36.0,0.45,0.91,3.2,27.6,3.8,7.0,1.1,0.4,2.6,9.75,2019-10-18 14:56:16
11,11,Jimmy Butler,"SG,SF",MIA,72,33.0,0.46,0.86,1.6,22.2,6.1,5.1,1.9,0.7,1.4,8.95,2019-10-18 14:56:16
12,12,LeBron James,"SF,PF",LAL,74,36.0,0.51,0.70,2.1,26.9,8.7,8.8,1.3,0.6,3.7,8.76,2019-10-18 14:56:16
13,13,Kyrie Irving,"PG,SG",BKN,68,33.0,0.46,0.87,2.7,25.1,3.9,7.2,1.4,0.4,2.6,7.99,2019-10-18 14:56:16
14,14,Bradley Beal,SG,WAS,78,35.0,0.47,0.80,2.5,26.7,5.3,5.5,1.4,0.7,2.6,7.67,2019-10-18 14:56:16
15,15,Nikola Vucevic,"PF,C",ORL,78,32.0,0.49,0.80,1.2,20.1,12.1,4.1,1.0,1.2,2.0,7.10,2019-10-18 14:56:16
16,16,Kemba Walker,PG,BOS,80,33.0,0.45,0.84,3.2,24.9,4.1,5.9,1.1,0.4,2.5,6.70,2019-10-18 14:56:16
17,17,Devin Booker,"PG,SG",PHO,71,35.0,0.47,0.85,2.2,27.5,4.3,5.7,0.9,0.2,3.7,6.63,2019-10-18 14:56:16
18,18,Rudy Gobert,C,UTA,77,32.0,0.68,0.65,0.0,16.9,13.5,2.1,0.8,2.4,1.6,6.37,2019-10-18 14:56:16
19,19,Jrue Holiday,"PG,SG",NOP,73,34.0,0.47,0.78,1.8,22.1,5.1,6.5,1.5,0.8,3.0,6.17,2019-10-18 14:56:16
20,20,Andre Drummond,"PF,C",DET,78,34.0,0.54,0.60,0.1,18.6,16.0,1.5,1.7,1.9,2.2,6.06,2019-10-18 14:56:16
21,21,Deandre Ayton,C,PHO,72,32.0,0.56,0.75,0.0,19.5,11.0,2.0,0.9,1.3,1.9,5.98,2019-10-18 14:56:16
22,22,John Collins,"PF,C",ATL,72,32.0,0.56,0.76,1.0,21.8,10.9,2.0,0.5,1.1,2.4,5.85,2019-10-18 14:56:16
23,23,Russell Westbrook,PG,HOU,76,36.0,0.45,0.70,1.7,21.2,8.4,8.2,1.9,0.5,4.1,5.67,2019-10-18 14:56:16
24,24,Trae Young,PG,ATL,78,32.0,0.43,0.86,2.4,22.3,4.0,8.9,1.0,0.2,3.9,5.60,2019-10-18 14:56:16
25,25,Myles Turner,"PF,C",IND,76,30.0,0.48,0.73,1.1,14.6,7.9,1.8,0.8,2.8,1.5,5.32,2019-10-18 14:56:16
26,26,Mitchell Robinson,C,NYK,76,26.0,0.62,0.63,0.0,11.3,9.4,0.8,1.0,2.8,0.9,5.21,2019-10-18 14:56:16
27,27,Mike Conley,PG,UTA,70,32.0,0.46,0.84,2.2,19.3,3.4,6.0,1.2,0.3,1.8,5.08,2019-10-18 14:56:16
